,num_guests,quantity_prepared,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,quantity_wasted,waste_ratio,waste_per_guest,food_type_Dairy Products,food_type_Fruits,food_type_Meat,food_type_Vegetables,event_type_Corporate,event_type_Social Gathering,event_type_Wedding
0,310,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25,0.05555555555555555,0.08064516129032258,False,False,True,False,True,False,False
1,400,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40,0.08,0.1,False,False,True,False,False,False,False
2,302,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,0.07277628032345014,0.08940397350993377,False,False,False,True,False,False,False
3,491,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32,0.06438631790744467,0.06517311608961303,False,False,True,False,False,False,False
4,300,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,0.0625,0.08333333333333333,False,False,True,False,True,False,False
5,302,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27,0.07277628032345014,0.08940397350993377,False,False,True,False,False,False,False
6,240,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20,0.044444444444444446,0.08333333333333333,False,False,True,False,False,False,True
7,300,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25,0.0625,0.08333333333333333,False,False,True,False,False,False,True
8,320,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45,0.1125,0.140625,False,True,False,False,True,False,False
9,400,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40,0.08,0.1,False,False,True,False,True,False,False
10,320,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,0.0875,0.109375,False,True,False,False,False,False,True
11,302,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,0.07277628032345014,0.08940397350993377,False,False,True,False,False,False,False
12,400,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25,0.05,0.0625,False,False,True,False,False,False,True
13,250,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,0.02857142857142857,0.04,False,False,True,False,False,True,False
14,267,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24,0.061068702290076333,0.0898876404494382,False,True,False,False,True,False,False
15,350,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,0.08888888888888889,0.11428571428571428,False,False,True,False,False,False,True
16,300,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,0.05,0.06666666666666667,False,True,False,False,False,False,False
17,380,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,0.07,0.09210526315789473,False,True,False,False,False,False,True
18,300,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25,0.05555555555555555,0.08333333333333333,False,True,False,False,False,False,False
19,220,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10,0.03333333333333333,0.045454545454545456,False,False,True,False,False,True,False
